id,day,brand_id,brand_code,brand_name,brand_voice,brand_color,platform,slot_utc,char_limit,content_type,template_id,template_name,template_slot,body_template,suggested_hashtags,status,notes
1,1,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,X,08:00 UTC,280,short text + 2 hashtags,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
2,1,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,X,08:00 UTC,280,short text + 2 hashtags,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
3,1,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,X,08:00 UTC,280,short text + 2 hashtags,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
4,1,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,X,08:00 UTC,280,short text + 2 hashtags,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
5,1,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,X,08:00 UTC,280,short text + 2 hashtags,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
6,1,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
7,1,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
8,1,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
9,1,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
10,1,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
11,1,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Mastodon,09:00 UTC,500,short text + open tag,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
12,1,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Mastodon,09:00 UTC,500,short text + open tag,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
13,1,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Mastodon,09:00 UTC,500,short text + open tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
14,1,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Mastodon,09:00 UTC,500,short text + open tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
15,1,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Mastodon,09:00 UTC,500,short text + open tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
16,1,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Bluesky,10:00 UTC,300,short text + custom feed tag,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
17,1,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Bluesky,10:00 UTC,300,short text + custom feed tag,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
18,1,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Bluesky,10:00 UTC,300,short text + custom feed tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
19,1,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Bluesky,10:00 UTC,300,short text + custom feed tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
20,1,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Bluesky,10:00 UTC,300,short text + custom feed tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
21,1,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Threads,16:00 UTC,500,"conversational, question-led",T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
22,1,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Threads,16:00 UTC,500,"conversational, question-led",T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
